GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_341,GCF_002128045.1;protein_342,GCF_000319675.2;protein_342,GCF_000027345.1;protein_344,GCF_000283755.1;protein_344,GCF_002127985.1;protein_343,GCF_009947205.1;protein_341,GCF_041931765.1;protein_422,GCF_040256845.1;protein_342,GCF_002128265.1;protein_344,GCF_041931565.1;protein_537,GCF_009944725.1;protein_344,GCF_002128145.1;protein_341,GCF_001558175.1;protein_345,GCF_009942155.1;protein_343,GCF_041931755.1;protein_422,GCF_001272775.1;protein_344,GCF_009939765.1;protein_343,GCF_002355715.1;protein_343,GCF_900660465.1;protein_385,GCF_002128285.1;protein_344,GCF_009944335.1;protein_342,GCF_001272755.1;protein_343,GCF_000733995.1;protein_419,GCF_002090215.1;protein_341,GCF_000319655.2;protein_344,GCF_009947575.1;protein_343,GCF_009945865.1;protein_345,GCF_009943805.1;protein_343,GCF_002090295.1;protein_342,,,,,,,
GCF_910574535.1;protein_342,GCF_002128045.1;protein_343,GCF_000319675.2;protein_343,GCF_000027345.1;protein_345,GCF_000283755.1;protein_345,GCF_002127985.1;protein_344,GCF_009947205.1;protein_342,GCF_041931765.1;protein_423,GCF_040256845.1;protein_343,GCF_002128265.1;protein_345,GCF_041931565.1;protein_538,GCF_009944725.1;protein_345,GCF_002128145.1;protein_342,GCF_001558175.1;protein_346,GCF_009942155.1;protein_344,GCF_041931755.1;protein_423,GCF_001272775.1;protein_345,GCF_009939765.1;protein_344,GCF_002355715.1;protein_344,GCF_900660465.1;protein_384,GCF_002128285.1;protein_345,GCF_009944335.1;protein_343,GCF_001272755.1;protein_344,GCF_000733995.1;protein_420,GCF_002090215.1;protein_342,GCF_000319655.2;protein_345,GCF_009947575.1;protein_344,GCF_009945865.1;protein_346,GCF_009943805.1;protein_344,GCF_002090295.1;protein_343,,,,,,,
GCF_910574535.1;protein_343,GCF_002128045.1;protein_344,GCF_000319675.2;protein_344,GCF_000027345.1;protein_346,GCF_000283755.1;protein_346,GCF_002127985.1;protein_345,GCF_009947205.1;protein_343,GCF_041931765.1;protein_424,GCF_040256845.1;protein_344,GCF_002128265.1;protein_346,GCF_041931565.1;protein_539,GCF_009944725.1;protein_346,GCF_002128145.1;protein_343,GCF_001558175.1;protein_347,GCF_009942155.1;protein_345,GCF_041931755.1;protein_424,GCF_001272775.1;protein_346,GCF_009939765.1;protein_345,GCF_002355715.1;protein_345,GCF_900660465.1;protein_383,GCF_002128285.1;protein_346,GCF_009944335.1;protein_344,GCF_001272755.1;protein_345,GCF_000733995.1;protein_421,GCF_002090215.1;protein_343,GCF_000319655.2;protein_346,GCF_009947575.1;protein_345,GCF_009945865.1;protein_347,GCF_009943805.1;protein_345,GCF_002090295.1;protein_344,,,,,,,
GCF_910574535.1;protein_344,GCF_002128045.1;protein_345,GCF_000319675.2;protein_345,GCF_000027345.1;protein_347,GCF_000283755.1;protein_347,GCF_002127985.1;protein_346,GCF_009947205.1;protein_344,GCF_041931765.1;protein_425,GCF_040256845.1;protein_345,GCF_002128265.1;protein_347,GCF_041931565.1;protein_540,GCF_009944725.1;protein_347,GCF_002128145.1;protein_344,GCF_001558175.1;protein_348,GCF_009942155.1;protein_346,GCF_041931755.1;protein_425,GCF_001272775.1;protein_347,GCF_009939765.1;protein_346,GCF_002355715.1;protein_346,GCF_900660465.1;protein_382,GCF_002128285.1;protein_347,GCF_009944335.1;protein_345,GCF_001272755.1;protein_346,GCF_000733995.1;protein_422,GCF_002090215.1;protein_344,GCF_000319655.2;protein_347,GCF_009947575.1;protein_346,GCF_009945865.1;protein_348,GCF_009943805.1;protein_346,GCF_002090295.1;protein_345,,,,,,,
GCF_910574535.1;protein_345,GCF_002128045.1;protein_346,GCF_000319675.2;protein_346,GCF_000027345.1;protein_348,GCF_000283755.1;protein_348,GCF_002127985.1;protein_347,GCF_009947205.1;protein_345,GCF_041931765.1;protein_426,GCF_040256845.1;protein_346,GCF_002128265.1;protein_348,GCF_041931565.1;protein_541,GCF_009944725.1;protein_348,GCF_002128145.1;protein_345,GCF_001558175.1;protein_349,GCF_009942155.1;protein_347,GCF_041931755.1;protein_426,GCF_001272775.1;protein_348,GCF_009939765.1;protein_347,GCF_002355715.1;protein_347,GCF_900660465.1;protein_381,GCF_002128285.1;protein_348,GCF_009944335.1;protein_346,GCF_001272755.1;protein_347,GCF_000733995.1;protein_423,GCF_002090215.1;protein_345,GCF_000319655.2;protein_348,GCF_009947575.1;protein_347,GCF_009945865.1;protein_349,GCF_009943805.1;protein_347,GCF_002090295.1;protein_346,,,,,,,
GCF_910574535.1;protein_346,GCF_002128045.1;protein_347,GCF_000319675.2;protein_347,GCF_000027345.1;protein_349,GCF_000283755.1;protein_349,GCF_002127985.1;protein_348,GCF_009947205.1;protein_346,GCF_041931765.1;protein_427,GCF_040256845.1;protein_347,GCF_002128265.1;protein_349,GCF_041931565.1;protein_542,GCF_009944725.1;protein_349,GCF_002128145.1;protein_346,GCF_001558175.1;protein_350,GCF_009942155.1;protein_348,GCF_041931755.1;protein_427,GCF_001272775.1;protein_349,GCF_009939765.1;protein_348,GCF_002355715.1;protein_348,GCF_900660465.1;protein_380,GCF_002128285.1;protein_349,GCF_009944335.1;protein_347,GCF_001272755.1;protein_348,GCF_000733995.1;protein_424,GCF_002090215.1;protein_346,GCF_000319655.2;protein_349,GCF_009947575.1;protein_348,GCF_009945865.1;protein_350,GCF_009943805.1;protein_348,GCF_002090295.1;protein_347,,,,,,,
GCF_910574535.1;protein_347,GCF_002128045.1;protein_348,GCF_000319675.2;protein_348,GCF_000027345.1;protein_350,GCF_000283755.1;protein_350,GCF_002127985.1;protein_349,GCF_009947205.1;protein_347,GCF_041931765.1;protein_428,GCF_040256845.1;protein_348,GCF_002128265.1;protein_350,GCF_041931565.1;protein_543,GCF_009944725.1;protein_350,GCF_002128145.1;protein_347,GCF_001558175.1;protein_351,GCF_009942155.1;protein_349,GCF_041931755.1;protein_428,GCF_001272775.1;protein_350,GCF_009939765.1;protein_349,GCF_002355715.1;protein_349,GCF_900660465.1;protein_379,GCF_002128285.1;protein_350,GCF_009944335.1;protein_348,GCF_001272755.1;protein_349,GCF_000733995.1;protein_425,GCF_002090215.1;protein_347,GCF_000319655.2;protein_350,GCF_009947575.1;protein_349,GCF_009945865.1;protein_351,GCF_009943805.1;protein_349,GCF_002090295.1;protein_348,,,,,,,
GCF_910574535.1;protein_348,GCF_002128045.1;protein_349,GCF_000319675.2;protein_349,GCF_000027345.1;protein_351,GCF_000283755.1;protein_351,GCF_002127985.1;protein_350,GCF_009947205.1;protein_348,GCF_041931765.1;protein_429,GCF_040256845.1;protein_349,GCF_002128265.1;protein_351,GCF_041931565.1;protein_544,GCF_009944725.1;protein_351,GCF_002128145.1;protein_348,GCF_001558175.1;protein_352,GCF_009942155.1;protein_350,GCF_041931755.1;protein_429,GCF_001272775.1;protein_351,GCF_009939765.1;protein_350,GCF_002355715.1;protein_350,GCF_900660465.1;protein_378,GCF_002128285.1;protein_351,GCF_009944335.1;protein_349,GCF_001272755.1;protein_350,GCF_000733995.1;protein_426,GCF_002090215.1;protein_348,GCF_000319655.2;protein_351,GCF_009947575.1;protein_350,GCF_009945865.1;protein_352,GCF_009943805.1;protein_350,GCF_002090295.1;protein_349,,,,,,,
GCF_910574535.1;protein_349,GCF_002128045.1;protein_350,GCF_000319675.2;protein_350,GCF_000027345.1;protein_352,GCF_000283755.1;protein_352,GCF_002127985.1;protein_351,GCF_009947205.1;protein_349,GCF_041931765.1;protein_430,GCF_040256845.1;protein_350,GCF_002128265.1;protein_352,GCF_041931565.1;protein_545,GCF_009944725.1;protein_352,GCF_002128145.1;protein_349,GCF_001558175.1;protein_353,GCF_009942155.1;protein_351,GCF_041931755.1;protein_430,GCF_001272775.1;protein_352,GCF_009939765.1;protein_351,GCF_002355715.1;protein_351,GCF_900660465.1;protein_377,GCF_002128285.1;protein_352,GCF_009944335.1;protein_350,GCF_001272755.1;protein_351,GCF_000733995.1;protein_427,GCF_002090215.1;protein_349,GCF_000319655.2;protein_352,GCF_009947575.1;protein_351,GCF_009945865.1;protein_353,GCF_009943805.1;protein_351,GCF_002090295.1;protein_350,,,,,,,
GCF_910574535.1;protein_35,GCF_002128045.1;protein_35,GCF_000319675.2;protein_35,GCF_000027345.1;protein_35,GCF_000283755.1;protein_35,GCF_002127985.1;protein_35,GCF_009947205.1;protein_35,GCF_041931765.1;protein_112,GCF_040256845.1;protein_35,GCF_002128265.1;protein_35,GCF_041931565.1;protein_231,GCF_009944725.1;protein_35,GCF_002128145.1;protein_35,GCF_001558175.1;protein_35,GCF_009942155.1;protein_35,GCF_041931755.1;protein_112,GCF_001272775.1;protein_35,GCF_009939765.1;protein_35,GCF_002355715.1;protein_35,GCF_900660465.1;protein_692,GCF_002128285.1;protein_35,GCF_009944335.1;protein_35,GCF_001272755.1;protein_35,GCF_000733995.1;protein_111,GCF_002090215.1;protein_35,GCF_000319655.2;protein_35,GCF_009947575.1;protein_35,GCF_009945865.1;protein_35,GCF_009943805.1;protein_35,GCF_002090295.1;protein_35,,,,,,,
GCF_910574535.1;protein_350,GCF_002128045.1;protein_351,GCF_000319675.2;protein_351,GCF_000027345.1;protein_353,GCF_000283755.1;protein_353,GCF_002127985.1;protein_352,GCF_009947205.1;protein_350,GCF_041931765.1;protein_431,GCF_040256845.1;protein_351,GCF_002128265.1;protein_353,GCF_041931565.1;protein_546,GCF_009944725.1;protein_353,GCF_002128145.1;protein_350,GCF_001558175.1;protein_354,GCF_009942155.1;protein_352,GCF_041931755.1;protein_431,GCF_001272775.1;protein_353,GCF_009939765.1;protein_352,GCF_002355715.1;protein_352,GCF_900660465.1;protein_376,GCF_002128285.1;protein_353,GCF_009944335.1;protein_351,GCF_001272755.1;protein_352,GCF_000733995.1;protein_428,GCF_002090215.1;protein_350,GCF_000319655.2;protein_353,GCF_009947575.1;protein_352,GCF_009945865.1;protein_354,GCF_009943805.1;protein_352,GCF_002090295.1;protein_351,,,,,,,
GCF_910574535.1;protein_351,GCF_002128045.1;protein_352,GCF_000319675.2;protein_352,GCF_000027345.1;protein_354,GCF_000283755.1;protein_354,GCF_002127985.1;protein_353,GCF_009947205.1;protein_351,GCF_041931765.1;protein_432,GCF_040256845.1;protein_352,GCF_002128265.1;protein_354,GCF_041931565.1;protein_547,GCF_009944725.1;protein_354,GCF_002128145.1;protein_351,GCF_001558175.1;protein_355,GCF_009942155.1;protein_353,GCF_041931755.1;protein_432,GCF_001272775.1;protein_354,GCF_009939765.1;protein_353,GCF_002355715.1;protein_353,GCF_900660465.1;protein_375,GCF_002128285.1;protein_354,GCF_009944335.1;protein_352,GCF_001272755.1;protein_353,GCF_000733995.1;protein_429,GCF_002090215.1;protein_351,GCF_000319655.2;protein_354,GCF_009947575.1;protein_353,GCF_009945865.1;protein_355,GCF_009943805.1;protein_353,GCF_002090295.1;protein_352,,,,,,,
GCF_910574535.1;protein_352,GCF_002128045.1;protein_353,GCF_000319675.2;protein_353,GCF_000027345.1;protein_355,GCF_000283755.1;protein_355,GCF_002127985.1;protein_354,GCF_009947205.1;protein_352,GCF_041931765.1;protein_433,GCF_040256845.1;protein_353,GCF_002128265.1;protein_355,GCF_041931565.1;protein_548,GCF_009944725.1;protein_355,GCF_002128145.1;protein_352,GCF_001558175.1;protein_356,GCF_009942155.1;protein_354,GCF_041931755.1;protein_433,GCF_001272775.1;protein_355,GCF_009939765.1;protein_354,GCF_002355715.1;protein_354,GCF_900660465.1;protein_374,GCF_002128285.1;protein_355,GCF_009944335.1;protein_353,GCF_001272755.1;protein_354,GCF_000733995.1;protein_430,GCF_002090215.1;protein_352,GCF_000319655.2;protein_355,GCF_009947575.1;protein_354,GCF_009945865.1;protein_356,GCF_009943805.1;protein_354,GCF_002090295.1;protein_353,,,,,,,
GCF_910574535.1;protein_353,GCF_002128045.1;protein_354,GCF_000319675.2;protein_354,GCF_000027345.1;protein_356,GCF_000283755.1;protein_356,GCF_002127985.1;protein_355,GCF_009947205.1;protein_353,GCF_041931765.1;protein_434,GCF_040256845.1;protein_354,GCF_002128265.1;protein_356,GCF_041931565.1;protein_549,GCF_009944725.1;protein_356,GCF_002128145.1;protein_353,GCF_001558175.1;protein_357,GCF_009942155.1;protein_355,GCF_041931755.1;protein_434,GCF_001272775.1;protein_356,GCF_009939765.1;protein_355,GCF_002355715.1;protein_355,GCF_900660465.1;protein_373,GCF_002128285.1;protein_356,GCF_009944335.1;protein_354,GCF_001272755.1;protein_355,GCF_000733995.1;protein_431,GCF_002090215.1;protein_353,GCF_000319655.2;protein_356,GCF_009947575.1;protein_355,GCF_009945865.1;protein_357,GCF_009943805.1;protein_355,GCF_002090295.1;protein_354,,,,,,,
GCF_910574535.1;protein_354,GCF_002128045.1;protein_355,GCF_000319675.2;protein_355,GCF_000027345.1;protein_357,GCF_000283755.1;protein_357,GCF_002127985.1;protein_356,GCF_009947205.1;protein_354,GCF_041931765.1;protein_435,GCF_040256845.1;protein_355,GCF_002128265.1;protein_357,GCF_041931565.1;protein_550,GCF_009944725.1;protein_357,GCF_002128145.1;protein_354,GCF_001558175.1;protein_358,GCF_009942155.1;protein_356,GCF_041931755.1;protein_435,GCF_001272775.1;protein_357,GCF_009939765.1;protein_356,GCF_002355715.1;protein_356,GCF_900660465.1;protein_372,GCF_002128285.1;protein_357,GCF_009944335.1;protein_355,GCF_001272755.1;protein_356,GCF_000733995.1;protein_432,GCF_002090215.1;protein_354,GCF_000319655.2;protein_357,GCF_009947575.1;protein_356,GCF_009945865.1;protein_358,GCF_009943805.1;protein_356,GCF_002090295.1;protein_355,,,,,,,
GCF_910574535.1;protein_355,GCF_002128045.1;protein_356,GCF_000319675.2;protein_356,GCF_000027345.1;protein_358,GCF_000283755.1;protein_358,GCF_002127985.1;protein_357,GCF_009947205.1;protein_355,GCF_041931765.1;protein_436,GCF_040256845.1;protein_356,GCF_002128265.1;protein_358,GCF_041931565.1;protein_551,GCF_009944725.1;protein_358,GCF_002128145.1;protein_355,GCF_001558175.1;protein_359,GCF_009942155.1;protein_357,GCF_041931755.1;protein_436,GCF_001272775.1;protein_358,GCF_009939765.1;protein_357,GCF_002355715.1;protein_357,GCF_900660465.1;protein_371,GCF_002128285.1;protein_358,GCF_009944335.1;protein_356,GCF_001272755.1;protein_357,GCF_000733995.1;protein_433,GCF_002090215.1;protein_355,GCF_000319655.2;protein_358,GCF_009947575.1;protein_357,GCF_009945865.1;protein_359,GCF_009943805.1;protein_357,GCF_002090295.1;protein_356,,,,,,,
GCF_910574535.1;protein_356,GCF_002128045.1;protein_357,GCF_000319675.2;protein_357,GCF_000027345.1;protein_359,GCF_000283755.1;protein_359,GCF_002127985.1;protein_358,GCF_009947205.1;protein_356,GCF_041931765.1;protein_437,GCF_040256845.1;protein_357,GCF_002128265.1;protein_359,GCF_041931565.1;protein_552,GCF_009944725.1;protein_359,GCF_002128145.1;protein_356,GCF_001558175.1;protein_360,GCF_009942155.1;protein_358,GCF_041931755.1;protein_437,GCF_001272775.1;protein_359,GCF_009939765.1;protein_358,GCF_002355715.1;protein_358,GCF_900660465.1;protein_370,GCF_002128285.1;protein_359,GCF_009944335.1;protein_357,GCF_001272755.1;protein_358,GCF_000733995.1;protein_434,GCF_002090215.1;protein_356,GCF_000319655.2;protein_359,GCF_009947575.1;protein_358,GCF_009945865.1;protein_360,GCF_009943805.1;protein_358,GCF_002090295.1;protein_357,,,,,,,
GCF_910574535.1;protein_357,GCF_002128045.1;protein_358,GCF_000319675.2;protein_358,GCF_000027345.1;protein_360,GCF_000283755.1;protein_360,GCF_002127985.1;protein_359,GCF_009947205.1;protein_357,GCF_041931765.1;protein_438,GCF_040256845.1;protein_358,GCF_002128265.1;protein_360,GCF_041931565.1;protein_553,GCF_009944725.1;protein_360,GCF_002128145.1;protein_357,GCF_001558175.1;protein_361,GCF_009942155.1;protein_359,GCF_041931755.1;protein_438,GCF_001272775.1;protein_360,GCF_009939765.1;protein_359,GCF_002355715.1;protein_359,GCF_900660465.1;protein_369,GCF_002128285.1;protein_360,GCF_009944335.1;protein_358,GCF_001272755.1;protein_359,GCF_000733995.1;protein_435,GCF_002090215.1;protein_357,GCF_000319655.2;protein_360,GCF_009947575.1;protein_359,GCF_009945865.1;protein_361,GCF_009943805.1;protein_359,GCF_002090295.1;protein_358,,,,,,,
GCF_910574535.1;protein_358,GCF_002128045.1;protein_359,GCF_000319675.2;protein_359,GCF_000027345.1;protein_361,GCF_000283755.1;protein_361,GCF_002127985.1;protein_360,GCF_009947205.1;protein_358,GCF_041931765.1;protein_439,GCF_040256845.1;protein_359,GCF_002128265.1;protein_361,GCF_041931565.1;protein_554,GCF_009944725.1;protein_361,GCF_002128145.1;protein_358,GCF_001558175.1;protein_362,GCF_009942155.1;protein_360,GCF_041931755.1;protein_439,GCF_001272775.1;protein_361,GCF_009939765.1;protein_360,GCF_002355715.1;protein_360,GCF_900660465.1;protein_368,GCF_002128285.1;protein_361,GCF_009944335.1;protein_359,GCF_001272755.1;protein_360,GCF_000733995.1;protein_436,GCF_002090215.1;protein_358,GCF_000319655.2;protein_361,GCF_009947575.1;protein_360,GCF_009945865.1;protein_362,GCF_009943805.1;protein_360,GCF_002090295.1;protein_359,,,,,,,
GCF_910574535.1;protein_359,GCF_002128045.1;protein_360,GCF_000319675.2;protein_360,GCF_000027345.1;protein_362,GCF_000283755.1;protein_362,GCF_002127985.1;protein_361,GCF_009947205.1;protein_359,GCF_041931765.1;protein_440,GCF_040256845.1;protein_360,GCF_002128265.1;protein_362,GCF_041931565.1;protein_555,GCF_009944725.1;protein_362,GCF_002128145.1;protein_359,GCF_001558175.1;protein_363,GCF_009942155.1;protein_361,GCF_041931755.1;protein_440,GCF_001272775.1;protein_362,GCF_009939765.1;protein_361,GCF_002355715.1;protein_361,GCF_900660465.1;protein_367,GCF_002128285.1;protein_362,GCF_009944335.1;protein_360,GCF_001272755.1;protein_361,GCF_000733995.1;protein_437,GCF_002090215.1;protein_359,GCF_000319655.2;protein_362,GCF_009947575.1;protein_361,GCF_009945865.1;protein_363,GCF_009943805.1;protein_361,GCF_002090295.1;protein_360,,,,,,,
GCF_910574535.1;protein_36,GCF_002128045.1;protein_36,GCF_000319675.2;protein_36,GCF_000027345.1;protein_36,GCF_000283755.1;protein_36,GCF_002127985.1;protein_36,GCF_009947205.1;protein_36,GCF_041931765.1;protein_113,GCF_040256845.1;protein_36,GCF_002128265.1;protein_36,GCF_041931565.1;protein_232,GCF_009944725.1;protein_36,GCF_002128145.1;protein_36,GCF_001558175.1;protein_36,GCF_009942155.1;protein_36,GCF_041931755.1;protein_113,GCF_001272775.1;protein_36,GCF_009939765.1;protein_36,GCF_002355715.1;protein_36,GCF_900660465.1;protein_691,GCF_002128285.1;protein_36,GCF_009944335.1;protein_36,GCF_001272755.1;protein_36,GCF_000733995.1;protein_112,GCF_002090215.1;protein_36,GCF_000319655.2;protein_36,GCF_009947575.1;protein_36,GCF_009945865.1;protein_36,GCF_009943805.1;protein_36,GCF_002090295.1;protein_36,,,,,,,
GCF_910574535.1;protein_360,,,GCF_000027345.1;protein_363,,,GCF_009947205.1;protein_360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_910574535.1;protein_361,GCF_002128045.1;protein_362,GCF_000319675.2;protein_362,GCF_000027345.1;protein_364,GCF_000283755.1;protein_364,GCF_002127985.1;protein_363,GCF_009947205.1;protein_361,GCF_041931765.1;protein_442,GCF_040256845.1;protein_362,GCF_002128265.1;protein_364,GCF_041931565.1;protein_557,GCF_009944725.1;protein_364,GCF_002128145.1;protein_361,GCF_001558175.1;protein_365,GCF_009942155.1;protein_363,GCF_041931755.1;protein_442,GCF_001272775.1;protein_364,GCF_009939765.1;protein_363,GCF_002355715.1;protein_363,GCF_900660465.1;protein_365,GCF_002128285.1;protein_364,GCF_009944335.1;protein_362,GCF_001272755.1;protein_363,GCF_000733995.1;protein_439,GCF_002090215.1;protein_361,GCF_000319655.2;protein_364,GCF_009947575.1;protein_363,GCF_009945865.1;protein_365,GCF_009943805.1;protein_363,GCF_002090295.1;protein_362,,,,,,,
GCF_910574535.1;protein_362,,,GCF_000027345.1;protein_365,,,GCF_009947205.1;protein_362,,GCF_040256845.1;protein_363,,,,,,,,,,,,,,,,GCF_002090215.1;protein_362,,GCF_009947575.1;protein_364,,,GCF_002090295.1;protein_363,,,,,,,
GCF_910574535.1;protein_363,GCF_002128045.1;protein_363,GCF_000319675.2;protein_363,GCF_000027345.1;protein_366,,GCF_002127985.1;protein_364,GCF_009947205.1;protein_363,GCF_041931765.1;protein_443,,,GCF_041931565.1;protein_558,,GCF_002128145.1;protein_362,GCF_001558175.1;protein_366,,GCF_041931755.1;protein_443,GCF_001272775.1;protein_365,GCF_009939765.1;protein_364,,,,GCF_009944335.1;protein_363,GCF_001272755.1;protein_364,GCF_000733995.1;protein_440,GCF_002090215.1;protein_363,,GCF_009947575.1;protein_365,,GCF_009943805.1;protein_364,GCF_002090295.1;protein_364,,,,,,,
GCF_910574535.1;protein_364,GCF_002128045.1;protein_364,GCF_000319675.2;protein_364,GCF_000027345.1;protein_367,GCF_000283755.1;protein_367,GCF_002127985.1;protein_365,GCF_009947205.1;protein_364,GCF_041931765.1;protein_444,GCF_040256845.1;protein_365,GCF_002128265.1;protein_367,GCF_041931565.1;protein_559,GCF_009944725.1;protein_367,GCF_002128145.1;protein_363,GCF_001558175.1;protein_367,GCF_009942155.1;protein_366,GCF_041931755.1;protein_444,GCF_001272775.1;protein_366,GCF_009939765.1;protein_365,GCF_002355715.1;protein_366,GCF_900660465.1;protein_363,GCF_002128285.1;protein_366,GCF_009944335.1;protein_364,GCF_001272755.1;protein_365,GCF_000733995.1;protein_441,GCF_002090215.1;protein_364,GCF_000319655.2;protein_366,GCF_009947575.1;protein_366,GCF_009945865.1;protein_368,GCF_009943805.1;protein_365,GCF_002090295.1;protein_365,,,,,,,
GCF_910574535.1;protein_365,GCF_002128045.1;protein_365,GCF_000319675.2;protein_365,GCF_000027345.1;protein_368,GCF_000283755.1;protein_368,GCF_002127985.1;protein_366,GCF_009947205.1;protein_365,GCF_041931765.1;protein_445,GCF_040256845.1;protein_366,GCF_002128265.1;protein_368,GCF_041931565.1;protein_560,GCF_009944725.1;protein_368,GCF_002128145.1;protein_364,GCF_001558175.1;protein_368,GCF_009942155.1;protein_367,GCF_041931755.1;protein_445,GCF_001272775.1;protein_367,GCF_009939765.1;protein_366,GCF_002355715.1;protein_367,GCF_900660465.1;protein_362,GCF_002128285.1;protein_367,GCF_009944335.1;protein_365,GCF_001272755.1;protein_366,GCF_000733995.1;protein_442,GCF_002090215.1;protein_365,GCF_000319655.2;protein_367,GCF_009947575.1;protein_367,GCF_009945865.1;protein_369,GCF_009943805.1;protein_366,GCF_002090295.1;protein_366,,,,,,,
